NPC,Birthday,Love,Like,Neutral,Dislike,Hate
Abigail,Fall 13,"Amethyst, Blackberry Cobbler, Chocolate Cake, Pufferfish, Pumpkin, Spicy Eel, Universal Loves","Quarts, Universal Likes except for vegetables","All Milk, Chanterelle, Common Mushroom, Daffodil, Dandelion, Hazelnut, Leek, Morel, Purple Mushroom, Snow Yam, Winter Root, Universal Neutrals","All Eggs, All Fruit except tree fruit, All vegetables except hops wheat and pumpkin, Sugar, Wild Horseradish, Universal Dislikes except for Clay and Pufferfish","Clay, Holly, Universal Hates except for Sugar"
Alex,Summer 13,"Complete Breakfast, Salmon Dinner, Universal Loves","Universal Likes, All Eggs except for Void Egg","All Fruit except for Tree Fruit, All Milk, Chanterelle, Common Mushroom, Daffodil, Dandelion, Hazelnut, Leek, Morel, Purple Mushroom, Snow Yam, Winter Root, Universal Neutrals","Salmonberry, Wild Horseradish, Universal Dislikes","Holly, Quartz, Universal Hates"
Caroline,Winter 7,"Fish Taco, Summer Spangle, Universal Loves","Daffodil, Universal Likes","All Eggs except for Void Egg, All Fruit except for Tree Fruit and Salmonberry, All Milk, Universal Neutrals ","Amaranth, Chanterelle, Common Mushroom, Dandelion, Duck Mayonnaise, Hazelnut, Holly, Leek, Mayonnaise, Morel, Purple Mushroom, Snow Yam, Wild Horseradish, Winter Root, Universal Dislikes ","Quartz, Salmonberry, Universal Hates"
Clint,Winter 26,"Amethyst, Aquamarine, Atichoke Dip, Emerald, Fiddlehead Risotto, Gold Bar, Iridium Bar, Jade, Omni Geode, Ruby, Topaz, Universal Loves","Copper Bar, Iron Bar, Universal Likes except for Flowers","All Eggs except for Void Egg, All Fruit except for Tree Fruit, All Milk, Chanterelle, Common Mushrooms, Coal, Daffodil, Dandelion, Gold Ore, Hazelnut, Iridium Ore, Leek, Morel, Purple Mushroom, Refined Quartz, Snow Yam, Winter Root, Universal Neutrals","Quartz, Salmonberry, Wild Horseradish, All Flowers except Poppy, Universal Dislikes except for Ore and Bars","Holly, Poppy, Universal Hates"
Demetrius,Summer 19,"Bean Hotpot, Ice Cream, Rice Pudding, Strawberry, Universal Loves","Purple Mushroom, All Eggs except for Void Egg, All Fruit except for Strawberry, Universal Likes","All Fish except for Carp and Snail, All Milk, Chanterelle, Common Mushroom, Daffodil, Dandelion, Hazelnut, Leek, Morel, Snow Yam, Wild Horseradish, Winter Root, Universal Neutrals","Quartz, Universal Dislikes except for Fish","Holly, Universal Hates"
Dwarf,Summer 22,"Amethyst, Aquamarine, Emerald, Jade, Omni Geode, Ruby, Topaz, Universal Loves","Dwarf Gadget, Dwarf Scroll 1, Dwarf Scroll 2, Dwarf Scroll 3, Dwarf Scroll 4,  Dwarvish Helm, Quartz, Universal Likes","Solar Essence, Void Essence, All Fruit except for Tree Fruit and Salmonberry, Universal Neutrals","All Milk, All Eggs, Chanterelle, Common Mushroom, Daffodil, Dandelion, Hazelnut, Holly, Leek, Morel, Purple Mushroom, Salmonberry, Snow Yam, Wild Horseradish, Winter Root, Universal Dislikes except for Omni Geode Solar Essence and Void Essence",Universal Hates except for the Dwarf Scrolls Dwarvish Helm and Dwarf Gadget
Elliot,Fall 5,"Crab Cakes, Duck Feather, Lobster, Pomegranate, Tom Kha Soup, Universal Loves","Octopus, Squid, All Fruit except for Pomegranate and Salmonberry, Universal Likes except for Amaranth and Pizza","All Eggs except for Void Egg, All Fish except for Carp Lobster Octopus Sea Cucumber Snail and Squid, Universal Neutrals except for Duck Feather","All Milk, Chanterelle, Common Mushroom, Daffodil, Dandelion, Hazelnut, Holly, Leek, Morel, Pizza, Purple Mushroom, Snow Yam, Wild Horseradish, Winter Root, Universal Dislikes except for Fish","Amaranth, Quartz, Salmonberry, Sea Cucumber, Universal Hates"
Emily,Spring 27,"Amethyst, Aquamarine, Cloth, Emerald, Jade, Ruby, Survival Burger, Topaz, Wool, Universal Loves","Daffodil, Quartz, Universal Likes except for Fish Taco Fried Eel Ice Crea Maki Rooll Rice Pudding Salmon Dinner Spicy Eel and Sashimi","All Eggs except for Void Egg, All Fruit except for Tree Fruit and Salmonberry, All Milk, Chanterelle, Common Mushroom, Dandelion, Hazelnut, Leek, Morel, Purple Mushroom, Snow Yam, Wild Horseradish, Winter Root, Universal Neutrals except for Wool","Fried Eel, Ice Cream, Rice Pudding, Salmonberry, Spicy Eel, Universal Dislikes","Fish Taco, Holly, Maki Roll, Salmon Dinner, Sashimi, Universal Hates"
Evelyn,Winter 20,"Beet, Chocolate Cake, Diamond, Fairy Rose, Stuffing, Tulip, Universal Loves","Daffodil, All Milk, Universal Likes except for Fried Eel Garlic Maki Roll Sashimi Spicy Eel and Trout Soup","All Eggs except for Void Egg, All Fruit except for Tree Fruit Salmonberry and Spice Berry, Chanterelle, Common Mushroom, Dandelion, Hazelnut, Leek, Morel, Purple Mushroom, Snow Yam, Winter Root","Quarz, Wild Horseradish, Universal Dislikes except for Clay and Fish","All Fish, Clam, Clay, Coral, Fried Eel, Garlic, Holly, Maki Roll, Salmonberry, Sashimi, Spice Berry, Spicy Eel, Trout Soup, Universal Hates"
George,Fall 24,"Fried Mushroom, Leek, Universal Loves","Daffodil, Universal Likes except for Flowers","Chanterelle, Common Mushroom, Hazelnut, Morel, Purple  Mushroom, Snow Yam, Winter Root, All Milk, All Fruit except for Tree Fruit and Salmonberry, All Eggs except for Void Egg, Universal Neutrals","Salmonberry, Wild Horseradish, All Flowers except for Poppy, Universal Dislikes except for Clay","Poppy, Clay, Dandelion, Holly, Quartz, Universal Hates"
Gus,Summer 8,"Diamond, Escargot, Fish Taco, Orange, Universal Loves","Daffodil, Universal Likes except for Coleslaw","Chanterelle, Common Mushroom, Dandelion, Hazelnut, Leek, Morel, Purple Mushroom, Snow Yam, Winter Root, All Eggs except for Void Egg, All Fruit except for Tree Fruit and Salmonberry, All Milk, Universal Neutrals","Salmonberry, Wild Horseradish, Universal Dislikes","Coleslaw, Holly, Quartz, Universal Hates"
Haley,Spring 14,"Coconut, Fruit Salad, Pink Cake, Sunflower, Universal Loves except for Prismatic Shard","Daffodil, Universal Likes except for Vegetables",Universal Neutrals,"Chanterelle, Common Mushroom, Dandelion, Hazelnut, Holly, Leek, Morel, Purple Mushroom, Quartz, Snow Yam, Winter Root, All Eggs, All Fruit except for Coconut, All Milk, All Vegetables except for Hops and Wheat, Universal Dislikes except for Clay and Fish","Clay, Prismatic Shard, Wild Horseradish, All Fish, Universal Hates"
Harvey,Winter 14,"Coffee, Pickles, Super Meal, Truffle Oil, Wine, Universal Loves","Chanterelle, Common Mushroom, Daffodil, Dandelion, Duck Egg, Duck Feather, Goat Milk, Hazelnut, Holly, Leek Morel, Purple Mushroom, Quartz, Snow Yam, Spring Onion, Wild Horseradish, Winter Root, All Fruit except for Salmonberry and Spice Berry, Universal Likes except for Cheeses","Cow Milk, All Eggs except for Duck Egg and Void Egg, Universal Neutrals except for Duck Feather Bread Coral Nautilus Shell and Rainbow Shell","Bread, Cheeses, Universal Dislikes except for Spring Onion","Coral, Nautilus Shell, Rainbow Shell, Salmonberry, Spice Berry, Universal Hates"
Jas ,Summer 4,"Fairy Rose, Pink Cake, Plum Pudding, Universal Loves","Coconut, Daffodil, Mead, Universal Likes except for Artisan Goods and Vegetables","All Milk, Universal Neutrals","All Eggs, All Fruit except for Coconut and Tree Fruit, Alll Vegetables except for Hops and Wheat, Chanterelle, Common Mushroom, Dandelion, Hazelnut, Holly, Leek, Morel, Purple Mushroom, Quartz, Snow Yam, Winter Root","Clay, Wild Horseradish, Artisan Goods except for Mead and Oil, Universal Hates"
Jodi,Fall 11,"Chocolate Cake, Crispy Bass, Diamond, Eggplant Parmesan, Fried Eel, Pancakes, Rhubarb Pie, Vegetable Medley, Universal Loves","All Milk, All Fruit except for Spice Berry, All Eggs except for Void Egg, Universal Likes except for Garlic",Universal Neutrals,"Chanterelle, Common Mushroom, Garlic, Hazelnut, Holly, Leek, Morel, Purple Mushroom, Quartz, Snow Yam, Wild Horseradish, Winter Root, Universal Dislikes","Daffodil, Dandelion, Spice Berry, Universal Hates"
Kent,Spring 4,"Fiddlehead Risotto, Roasted Hazelnuts, Universal Loves","Daffodil, All Fruit, All Eggs except for Void Egg, Universal Likes except for Algae Soup Sashimi and Tortilla","Chanterelle, Common Mushroom, Dandelion, Hazelnut, Leek, Morel, Purple Mushroom, Wild Horseradish, Winter Root, Universal Neutrals","Quartz, Snow Yam, Universal Dislikes","Algae Soup, Holly, Sashimi, Tortilla, All Milk, Universal Hates"
Krobus,Winter 1,"Diamond, Iridium Bar, Pumpkin, Void Egg, Void Mayonnaise, Wild Horseradish, Universal Loves","Gold Bar, Quartz, Universal Likes except for Cooking and Life Elixir","All Milk, All Fruit except for Tree Fruit and Salmonberry, All Eggs except for Void Egg, Universal Neutrals","All Cooking except for Bread Fried Egg and Strange Bun, Chanterelle, Common Mushroom, Daffodil, Dandelion, Hazelnut, Holly, Leek, Life Elixir, Morel, Purple Mushroom, Salmonberry, Snow Yam, Winter Root, Universal Dislikes except for Gold bar Iridium Bar and Void Egg",Universal Hates except for Void Mayonnaise